Product ID,Customer ID,Rating,Review Text
PROD972,CUST6627,1,"Perfect gift for my friend, they loved it!"
PROD852,CUST9716,1,Customer service was unhelpful.
PROD289,CUST8939,1,The item stopped working after a week.
PROD341,CUST9839,1,Product does not match the description.
PROD487,CUST3644,1,Product does not match the description.
PROD540,CUST1483,1,"Shipping took too long, not satisfied."
PROD805,CUST4026,1,Sound quality is below average.
PROD910,CUST7853,1,"Shipping took too long, not satisfied."
PROD742,CUST6323,1,Highly recommended for anyone looking for this.
PROD155,CUST8417,1,"Perfect gift for my friend, they loved it!"
PROD865,CUST2354,1,Would definitely buy again.
PROD939,CUST1159,1,"Fantastic build quality, feels premium."
PROD216,CUST9562,1,Sound quality is below average.
PROD728,CUST9339,1,Would definitely buy again.
PROD644,CUST3867,1,"Shipping took too long, not satisfied."
PROD292,CUST3807,1,"Arrived damaged, had to request a replacement."
PROD704,CUST9354,1,Would definitely buy again.
PROD843,CUST4075,1,"Perfect gift for my friend, they loved it!"
PROD761,CUST8852,1,"Very easy to use, beginner-friendly."
PROD679,CUST1261,1,"Shipping took too long, not satisfied."
PROD888,CUST5154,1,"Battery life is very short, not as advertised."
PROD811,CUST7189,1,Sound quality is below average.
PROD416,CUST3563,1,"Better than expected, great performance."
PROD313,CUST3556,1,"Fantastic build quality, feels premium."
PROD990,CUST4512,1,"Shipping took too long, not satisfied."
PROD663,CUST3316,1,Would definitely buy again.
PROD541,CUST5697,1,"Fantastic build quality, feels premium."
PROD858,CUST7072,1,Fast delivery and excellent packaging.
PROD534,CUST4567,1,"Battery life is very short, not as advertised."
PROD566,CUST4185,1,Customer service was unhelpful.
PROD407,CUST8935,1,"Battery life is very short, not as advertised."
PROD882,CUST9839,1,"Better than expected, great performance."
PROD568,CUST5672,1,Would definitely buy again.
PROD638,CUST7306,1,"Great product, works as expected!"
PROD707,CUST8369,1,Would definitely buy again.
PROD112,CUST1500,1,Product does not match the description.
PROD887,CUST4493,1,Amazing value for money!
PROD957,CUST3454,1,Fast delivery and excellent packaging.
PROD860,CUST1935,1,"Not what I ordered, very disappointed."
PROD249,CUST6590,1,"Arrived damaged, had to request a replacement."
PROD401,CUST2319,1,"Not satisfied, poor quality."
PROD490,CUST6510,1,"Fantastic build quality, feels premium."
PROD198,CUST7819,1,The item stopped working after a week.
PROD298,CUST5278,1,"Shipping took too long, not satisfied."
PROD820,CUST2726,1,Sound quality is below average.
PROD677,CUST5413,1,"Shipping took too long, not satisfied."
PROD117,CUST6157,1,"Perfect gift for my friend, they loved it!"
PROD138,CUST8507,1,"Not satisfied, poor quality."
PROD248,CUST2321,1,"The instructions were unclear, difficult to set up."
PROD250,CUST5505,1,Highly recommended for anyone looking for this.
PROD210,CUST5819,1,"Not satisfied, poor quality."
PROD300,CUST9441,1,"Shipping took too long, not satisfied."
PROD369,CUST9659,1,"Better than expected, great performance."
PROD590,CUST4654,1,"Not what I ordered, very disappointed."
PROD860,CUST1690,1,"Shipping took too long, not satisfied."
PROD132,CUST6565,1,Would definitely buy again.
PROD223,CUST1587,1,"Very easy to use, beginner-friendly."
PROD360,CUST2621,1,"The instructions were unclear, difficult to set up."
PROD320,CUST9946,1,"Great product, works as expected!"
PROD138,CUST2469,1,"Very easy to use, beginner-friendly."
PROD821,CUST7886,1,Too expensive for the quality provided.
PROD483,CUST1301,1,Customer service was unhelpful.
PROD765,CUST1922,1,"Perfect gift for my friend, they loved it!"
PROD556,CUST5135,1,"The instructions were unclear, difficult to set up."
PROD264,CUST8592,1,"Battery life is very short, not as advertised."
PROD440,CUST3131,1,Highly recommended for anyone looking for this.
PROD902,CUST9631,1,"Great product, works as expected!"
PROD316,CUST5157,1,"Battery life is very short, not as advertised."
PROD385,CUST7505,1,Product does not match the description.
PROD817,CUST1891,1,Too expensive for the quality provided.
PROD129,CUST1875,1,Sound quality is below average.
PROD134,CUST6475,1,Customer service was unhelpful.
PROD640,CUST3668,1,"Very easy to use, beginner-friendly."
PROD941,CUST4265,1,"Arrived damaged, had to request a replacement."
PROD634,CUST4670,1,Highly recommended for anyone looking for this.
PROD754,CUST3260,1,"Not what I ordered, very disappointed."
PROD398,CUST7757,1,"Very easy to use, beginner-friendly."
PROD873,CUST1834,1,Fast delivery and excellent packaging.
PROD513,CUST9613,1,"Fantastic build quality, feels premium."
PROD390,CUST4251,1,"Not what I ordered, very disappointed."
PROD186,CUST9099,1,"Not what I ordered, very disappointed."
PROD873,CUST5802,1,Product does not match the description.
PROD803,CUST7330,1,"Shipping took too long, not satisfied."
PROD274,CUST2982,1,"Arrived damaged, had to request a replacement."
PROD319,CUST6038,1,"Very easy to use, beginner-friendly."
PROD519,CUST9497,1,Sound quality is below average.
PROD415,CUST7182,1,"Great product, works as expected!"
PROD889,CUST9747,1,Highly recommended for anyone looking for this.
PROD245,CUST6201,1,"Better than expected, great performance."
PROD796,CUST2543,1,"Perfect gift for my friend, they loved it!"
PROD981,CUST4342,1,"Battery life is very short, not as advertised."
PROD511,CUST8138,1,Product does not match the description.
PROD327,CUST7408,1,"Not satisfied, poor quality."
PROD224,CUST2103,1,"Battery life is very short, not as advertised."
PROD614,CUST7503,1,The item stopped working after a week.
PROD779,CUST8939,1,Product does not match the description.
PROD393,CUST8184,1,The item stopped working after a week.
PROD252,CUST4130,1,"Shipping took too long, not satisfied."
PROD671,CUST9597,1,Fast delivery and excellent packaging.
PROD490,CUST4587,1,Highly recommended for anyone looking for this.
PROD680,CUST6008,1,"Perfect gift for my friend, they loved it!"
PROD188,CUST1046,1,Customer service was unhelpful.
PROD784,CUST5682,1,Customer service was unhelpful.
PROD772,CUST9416,1,Customer service was unhelpful.
PROD700,CUST8671,1,"Not satisfied, poor quality."
PROD785,CUST1679,1,"Perfect gift for my friend, they loved it!"
PROD354,CUST4565,1,The item stopped working after a week.
PROD927,CUST6396,1,Sound quality is below average.
PROD821,CUST5719,1,"The instructions were unclear, difficult to set up."
PROD469,CUST3067,1,"Great product, works as expected!"
PROD131,CUST3941,1,Sound quality is below average.
PROD705,CUST8611,1,"Shipping took too long, not satisfied."
PROD967,CUST1020,1,"Arrived damaged, had to request a replacement."
PROD269,CUST7067,1,"The instructions were unclear, difficult to set up."
PROD792,CUST3809,1,"Perfect gift for my friend, they loved it!"
PROD533,CUST1422,1,"Arrived damaged, had to request a replacement."
PROD590,CUST7165,1,Too expensive for the quality provided.
PROD286,CUST9448,1,"Better than expected, great performance."
PROD183,CUST8685,1,Sound quality is below average.
PROD893,CUST2617,1,"Better than expected, great performance."
PROD241,CUST1601,1,"Arrived damaged, had to request a replacement."
PROD591,CUST5194,1,Product does not match the description.
PROD309,CUST1653,1,Customer service was unhelpful.
PROD889,CUST7320,1,Customer service was unhelpful.
PROD343,CUST6767,1,Amazing value for money!
PROD312,CUST1288,1,"Perfect gift for my friend, they loved it!"
PROD524,CUST6566,1,Fast delivery and excellent packaging.
PROD532,CUST5357,1,Too expensive for the quality provided.
PROD746,CUST9882,1,"Fantastic build quality, feels premium."
PROD253,CUST1565,1,Would definitely buy again.
PROD631,CUST5135,1,"Shipping took too long, not satisfied."
PROD735,CUST8296,1,Amazing value for money!
PROD684,CUST4071,1,"Better than expected, great performance."
PROD312,CUST5352,1,"The instructions were unclear, difficult to set up."
PROD111,CUST3684,1,"Battery life is very short, not as advertised."
PROD210,CUST2303,1,"Not satisfied, poor quality."
PROD567,CUST7174,1,"Fantastic build quality, feels premium."
PROD788,CUST5266,1,"Fantastic build quality, feels premium."
PROD823,CUST7846,1,Too expensive for the quality provided.
PROD594,CUST9977,1,"Very easy to use, beginner-friendly."
PROD936,CUST1960,1,"Arrived damaged, had to request a replacement."
PROD896,CUST8657,1,Would definitely buy again.
PROD950,CUST6713,1,Would definitely buy again.
PROD533,CUST8254,1,Would definitely buy again.
PROD734,CUST9228,1,Product does not match the description.
PROD778,CUST5309,1,"Fantastic build quality, feels premium."
PROD578,CUST1070,1,"Battery life is very short, not as advertised."
PROD660,CUST1182,1,Amazing value for money!
PROD685,CUST8698,1,"Better than expected, great performance."
PROD895,CUST3011,1,"Great product, works as expected!"
PROD756,CUST5717,1,Amazing value for money!
PROD892,CUST2879,1,"Not satisfied, poor quality."
PROD904,CUST4109,1,"Not what I ordered, very disappointed."
PROD694,CUST5240,1,"Better than expected, great performance."
